model algo nvar f(x) f(x0) ‖g(x)‖ ‖g(x0)‖ #f #g #hv #it optimal
arglina cglin  200 2.000e+02 1.000e+03 5.8e-13 5.7e+01    2    2    2    1  true
arglinb cglin  200 9.963e+01 8.651e+15 1.2e-01 1.4e+15    2    2    2    1  true
arglinc cglin  200 1.011e+02 8.353e+15 4.1e-01 1.4e+15    2    2    2    1  true
arwhead cglin 5000 1.110e-12 1.500e+04 5.9e-06 4.0e+04    6    6   12    5  true
bdqrtic cglin 5000 2.001e+04 1.129e+06 8.4e-01 1.5e+06   10   10   40    9  true
boxpower cglin 20000 4.716e-02 1.764e+05 2.0e-02 1.7e+05    8    7   20    6  true
  box cglin 10000 -1.865e+03 0.000e+00 1.5e-06 5.0e+01   12    5   14    4  true
brownal cglin  200 2.037e-08 2.010e+06 2.8e-02 5.7e+05    2    2    2    1  true
broydn7d cglin 5000 1.875e+03 1.760e+04 4.2e-05 1.1e+03 1040  300 4326  299  true
brybnd cglin 5000 1.510e-06 1.249e+05 7.2e-03 7.8e+03    8    8   78    7  true
chainwoo cglin 4000 1.535e+02 1.445e+07 1.0e-01 4.2e+05 5324 1450 79310 1449  true
chnrosnb cglin   50 1.877e-08 7.636e+03 1.9e-03 3.6e+03   72   45  978   44  true
chnrsnbm cglin   50 4.301e-09 8.633e+03 2.1e-03 4.4e+03  100   56 1176   55  true
cosine cglin 10000 -9.999e+03 8.775e+03 9.1e-07 7.2e+01    8    7   19    6  true
cragglvy cglin 5000 1.688e+03 2.749e+06 1.0e-01 2.8e+05   13   13  102   12  true
curly10 cglin 10000 -1.003e+06 -6.306e-01 6.9e-05 1.3e+02   27   14 116337   13  true
curly20 cglin 10000 -1.003e+06 -1.344e+00 1.2e-04 3.0e+02   29   15 138593   14  true
curly30 cglin 10000 -1.003e+06 -2.190e+00 3.2e-04 5.1e+02   35   15 127354   14  true
deconvu cglin   63 1.773e-07 1.104e+02 7.4e-06 1.1e+02   23   15  254   14  true
dixmaana cglin 3000 1.000e+00 2.850e+04 2.6e-04 1.2e+03   11    9   24    8  true
dixmaanb cglin 3000 1.000e+00 4.724e+04 1.9e-04 2.0e+03    8    8   14    7  true
dixmaanc cglin 3000 1.000e+00 8.248e+04 2.8e-04 3.7e+03    9    9   16    8  true
dixmaand cglin 3000 1.000e+00 1.586e+05 2.1e-03 7.6e+03   10   10   18    9  true
dixmaane cglin 3000 1.000e+00 2.850e+04 2.6e-04 1.2e+03   11    9   24    8  true
dixmaanf cglin 3000 1.000e+00 4.104e+04 1.7e-03 1.9e+03   14   12  444   11  true
