model algo nvar f(x) f(x0) ‖g(x)‖ ‖g(x0)‖ #f #g #hv #it optimal
arglina crlin  200 2.000e+02 1.000e+03 5.8e-13 5.7e+01    2    2    2    1  true
arglinb crlin  200 9.963e+01 8.651e+15 1.2e-01 1.4e+15    2    2    2    1  true
arglinc crlin  200 1.011e+02 8.353e+15 7.8e-02 1.4e+15    2    2    2    1  true
arwhead crlin 5000 1.110e-12 1.500e+04 5.9e-06 4.0e+04    6    6   12    5  true
bdqrtic crlin 5000 2.001e+04 1.129e+06 9.2e-01 1.5e+06   10   10   40    9  true
boxpower crlin 20000 4.716e-02 1.764e+05 2.1e-02 1.7e+05    8    7   18    6  true
  box crlin 10000 -1.865e+03 0.000e+00 2.7e-06 5.0e+01   12    5   14    4  true
brownal crlin  200 2.037e-08 2.010e+06 2.8e-02 5.7e+05    2    2    2    1  true
broydn7d crlin 5000 1.854e+03 1.760e+04 7.6e-04 1.1e+03 1977 1782 7610 1781  true
brybnd crlin 5000 2.050e-06 1.249e+05 6.5e-03 7.8e+03    9    9   92    8  true
chainwoo crlin 4000 2.388e+03 1.445e+07 1.7e-01 4.2e+05 5291 3454 85956 3453  true
chnrosnb crlin   50 2.206e-06 7.636e+03 3.5e-03 3.6e+03   70   48  984   47  true
chnrsnbm crlin   50 2.275e-09 8.633e+03 2.7e-04 4.4e+03  126   70 1311   69  true
cosine crlin 10000 -9.999e+03 8.775e+03 8.7e-07 7.2e+01    8    7   19    6  true
cragglvy crlin 5000 1.688e+03 2.749e+06 1.1e-01 2.8e+05   13   13   92   12  true
curly10 crlin 10000 -1.003e+06 -6.306e-01 1.3e-04 1.3e+02   21   19 86127   18  true
curly20 crlin 10000 -1.003e+06 -1.344e+00 2.4e-05 3.0e+02   25   21 99683   20  true
curly30 crlin 10000 -1.003e+06 -2.190e+00 7.6e-05 5.1e+02   28   22 106049   21  true
deconvu crlin   63 1.825e-07 1.104e+02 2.5e-05 1.1e+02   14   13  191   12  true
dixmaana crlin 3000 1.000e+00 2.850e+04 2.6e-04 1.2e+03   10    8   20    7  true
dixmaanb crlin 3000 1.000e+00 4.724e+04 2.1e-04 2.0e+03    8    8   14    7  true
dixmaanc crlin 3000 1.000e+00 8.248e+04 2.8e-04 3.7e+03    9    9   16    8  true
dixmaand crlin 3000 1.000e+00 1.586e+05 2.2e-03 7.6e+03   10   10   18    9  true
dixmaane crlin 3000 1.000e+00 2.850e+04 2.6e-04 1.2e+03   10    8   20    7  true
dixmaanf crlin 3000 1.000e+00 4.104e+04 2.7e-04 1.9e+03   12   12  252   11  true
dixmaang crlin 3000 1.000e+00 7.607e+04 1.3e-03 3.6e+03   12   12  152   11  true
dixmaanh crlin 3000 1.001e+00 1.517e+05 3.6e-03 7.4e+03   12   12   64   11  true
dixmaani crlin 3000 1.000e+00 2.002e+04 3.3e-05 1.0e+03   11   11 1260   10  true
dixmaanj crlin 3000 1.000e+00 3.900e+04 4.7e-04 1.8e+03   13   13  166   12  true
dixmaank crlin 3000 1.000e+00 7.400e+04 9.7e-04 3.6e+03   13   13  122   12  true
dixmaanl crlin 3000 1.000e+00 1.496e+05 2.4e-03 7.4e+03   13   13   86   12  true
dixmaanm crlin 3000 1.001e+00 9.358e+03 3.1e-04 4.4e+02    9    9  524    8  true
dixmaann crlin 3000 1.000e+00 2.018e+04 4.9e-04 1.0e+03   13   13  290   12  true
dixmaano crlin 3000 1.001e+00 3.635e+04 1.1e-03 2.0e+03   13   13  198   12  true
dixmaanp crlin 3000 1.002e+00 7.128e+04 2.5e-03 4.0e+03   13   13  136   12  true
dixon3dq crlin 10000 9.661e-04 8.000e+00 1.8e-05 5.7e+00 10001 10001 42496 10000 false
dqdrtic crlin 5000 3.143e-05 9.041e+06 1.1e-02 8.5e+04    5    5   16    4  true
dqrtic crlin 5000 4.137e+09 6.241e+17 8.1e+06 1.3e+13   13   13   52   12  true
edensch crlin 2000 1.200e+04 7.358e+06 2.8e-02 1.0e+05   14   14   48   13  true
  eg2 crlin 5000 5.549e+03 2.949e+05 1.7e-03 8.8e+03    9    9   34    8  true
engval1 crlin 5000 5.549e+03 2.949e+05 1.7e-03 8.8e+03    9    9   34    8  true
errinros crlin   50 4.022e+01 1.102e+05 4.1e-02 1.2e+05   32   27  341   26  true
errinrsm crlin   50 3.873e+01 1.529e+05 1.1e-01 1.3e+05   25   20  209   19  true
extrosnb crlin 1000 8.403e-03 3.996e+05 3.8e-02 3.8e+04   48   30  216   29  true
fletbv3m crlin 5000 -2.326e+05 1.982e+02 3.2e-05 4.4e+01  293  292  528  291  true
fletcbv2 crlin 5000 -5.003e-01 -5.003e-01 3.7e-06 4.4e-06 10001 10001 32266 10000 false
fletcbv3 crlin 5000 -2.286e+08 1.982e+02 5.0e+01 4.4e+01 10001 10001 13158 10000 false
fletchbv crlin 5000 -1.916e+19 -2.302e+11 4.5e+09 2.8e+09 15817 10001 29997 10000 false
fletchcr crlin 1000 7.199e-11 9.990e+02 2.2e-05 6.3e+01 2726 1634 37090 1633  true
fminsrf2 crlin 5625 1.000e+00 2.846e+01 2.5e-06 3.3e-01 10133 10001 27849 10000 false
fminsurf crlin 5625 1.000e+00 2.859e+01 2.8e-07 3.3e-01  227   38 16029   37  true
freuroth crlin 5000 6.082e+05 5.049e+06 4.4e-03 5.5e+04   28   10   43    9  true
genhumps crlin 5000 1.735e-07 1.281e+08 3.0e-04 6.0e+03 7947 7530 28065 7529  true
genrose crlin  500 1.000e+00 1.870e+03 2.2e-06 3.0e+02  915  457 7380  456  true
hilbertb crlin   10 2.216e-14 5.102e+02 6.8e-07 1.1e+02    6    6   12    5  true
