model     algo nvar   f(x)    f(x0)   ‖g(x)‖  ‖g(x0)‖   #f  #g #Hv  #it optimal
broydn7d CGlin  100 2.437e+01 2.742e+02 3.1e-05 5.5e+01   35   17  286   16  true
brybnd CGlin  100 4.651e-08 3.600e+03 2.7e-03 2.7e+03    8    8   12    7  true
chainwoo CGlin  100 1.000e+00 3.720e+05 1.2e-02 7.0e+04  274   90 1833   89  true
chnrosnb_mod CGlin  100 6.582e-08 1.764e+04 2.3e-03 6.4e+03  213   99 1192   98  true
cosine CGlin  100 -9.900e+01 8.688e+01 7.6e-08 7.2e+00    9    8   12    7  true
cragglvy CGlin  100 3.227e+01 5.282e+04 3.8e-03 3.9e+04   14   14   79   13  true
curly CGlin  100 -1.003e+04 -6.237e-03 2.0e-06 1.3e+01   23   14  518   13  true
dixmaane CGlin   99 1.000e+00 7.318e+02 7.5e-06 1.9e+02   14   12   77   11  true
dixmaanf CGlin   99 1.000e+00 1.348e+03 8.8e-06 3.4e+02   11   11   61   10  true
dixmaang CGlin   99 1.000e+00 2.496e+03 6.0e-05 6.6e+02   11   11   45   10  true
dixmaanh CGlin   99 1.000e+00 4.974e+03 1.4e-04 1.3e+03   13   13   46   12  true
dixmaani CGlin   99 1.000e+00 6.636e+02 8.6e-05 1.9e+02   10   10  215    9  true
dixmaanj CGlin   99 1.000e+00 1.281e+03 1.9e-05 3.3e+02   16   13  184   12  true
dixmaank CGlin   99 1.000e+00 2.428e+03 4.8e-04 6.5e+02   16   13  220   12  true
dixmaanl CGlin   99 1.000e+00 4.904e+03 1.3e-03 1.3e+03   12   12  104   11  true
dixmaanm CGlin   99 1.000e+00 3.143e+02 1.1e-05 8.1e+01    9    9  260    8  true
dixmaann CGlin   99 1.000e+00 6.657e+02 3.5e-05 1.8e+02   17   14  406   13  true
dixmaano CGlin   99 1.000e+00 1.196e+03 1.9e-04 3.5e+02   21   14  412   13  true
dixmaanp CGlin   99 1.000e+00 2.343e+03 1.2e-04 7.1e+02   13   13  239   12  true
edensch CGlin  100 6.033e+02 1.699e+03 6.0e-06 3.0e+02    9    9   24    8  true
  eg2 CGlin  100 -9.895e+01 -8.331e+01 1.4e-09 5.3e+01    4    4    3    3  true
errinros_mod CGlin  100 7.838e+01 3.140e+05 5.8e-02 1.9e+05   41   25  148   24  true
extrosnb CGlin  100 2.086e-03 3.960e+04 1.0e-02 1.2e+04   63   39  178   38  true
fletcbv2 CGlin  100 -5.140e-01 -5.131e-01 3.9e-07 1.5e-03    3    3  185    2  true
fletcbv3_mod CGlin  100 -8.701e-02 -1.879e-02 2.8e-03 1.6e-03 10001 10001 10001 10000 false
fletchcr CGlin  100 4.653e-11 9.900e+03 6.3e-05 2.8e+02  113   57  503   56  true
fminsrf2 CGlin  100 1.000e+02 2.504e+03 5.4e-06 8.8e+01   76   17  986   16  true
freuroth CGlin  100 1.196e+04 9.956e+04 4.3e-03 7.9e+03   15   11   27   10  true
genhumps CGlin  100 4.460e-07 2.537e+06 8.0e-04 8.5e+02 1686 1365 3725 1364  true
genrose CGlin  100 1.000e+00 4.051e+02 3.6e-05 1.3e+02  178   62  720   61  true
genrose_nash CGlin  100 1.000e+00 4.041e+02 4.2e-06 1.3e+02  209   71  742   70  true
indef_mod CGlin  100 -9.375e+03 9.167e+01 3.8e-06 1.1e+01  114   99  199   98  true
liarwhd CGlin  100 1.475e-07 5.850e+04 8.3e-04 1.2e+04   12   12   20   11  true
morebv CGlin  100 7.068e-12 5.010e-01 1.1e-06 3.5e+00   11   11 1414   10  true
ncb20 CGlin  100 1.671e+02 1.820e+02 3.5e-06 3.2e+01   65   32  305   31  true
ncb20b CGlin  100 1.967e+02 2.000e+02 2.9e-05 3.4e+01   49   16  541   15  true
noncvxu2 CGlin  100 2.328e+02 2.640e+06 2.7e-03 9.5e+03   41   24  340   23  true
noncvxun CGlin  100 2.346e+02 2.727e+06 4.7e-03 1.0e+04   57   22  160   21  true
nondia CGlin  100 1.969e+00 1.010e+06 4.0e-01 2.0e+06    3    3    2    2  true
penalty2 CGlin  100 9.710e+04 1.688e+06 5.5e-01 1.5e+06   13   13   29   12  true
powellsg CGlin  100 9.898e-05 3.158e+04 1.0e-02 1.5e+04   12   12   44   11  true
schmvett CGlin  100 -2.940e+02 -1.891e+02 1.8e-06 2.0e+01   11    9   34    8  true
scosine CGlin  100 -8.359e+01 8.688e+01 2.7e+03 8.1e+02 10186 10001 1232544 10000 false
sinquad CGlin  100 2.994e-05 2.313e+02 1.6e-04 2.4e+02  354  321  638  320  true
sparsine CGlin  100 7.838e-07 2.089e+04 5.3e-03 8.5e+03   34   18  195   17  true
sparsqur CGlin  100 7.228e-06 1.420e+03 6.7e-04 1.3e+03   13   13   30   12  true
srosenbr CGlin  100 1.385e-07 1.210e+03 3.3e-04 1.6e+03   76   60  110   59  true
tointgss CGlin  100 9.706e+00 8.916e+02 2.9e-05 5.9e+01   10    7   19    6  true
tquartic CGlin  100 5.995e-15 8.100e-01 1.6e-08 1.8e+00   36   31   53   30  true
woods CGlin  100 1.000e+00 1.805e+05 4.2e-03 3.4e+04   71   52  172   51  true
