model     algo nvar   f(x)    f(x0)   ‖g(x)‖  ‖g(x0)‖   #f  #g #Hv  #it optimal
broydn7d CRlin  100 2.438e+01 2.742e+02 1.2e-05 5.5e+01   62   58  483   57  true
brybnd CRlin  100 5.222e-08 3.600e+03 2.7e-03 2.7e+03    8    8   12    7  true
chainwoo CRlin  100 3.137e+01 3.720e+05 6.0e-02 7.0e+04  201  123 1863  122  true
chnrosnb_mod CRlin  100 1.115e-05 1.764e+04 6.1e-03 6.4e+03  200  112 1195  111  true
cosine CRlin  100 -9.900e+01 8.688e+01 7.1e-08 7.2e+00    9    8   12    7  true
cragglvy CRlin  100 3.227e+01 5.282e+04 5.4e-03 3.9e+04   14   14   71   13  true
curly CRlin  100 -1.003e+04 -6.237e-03 1.2e-05 1.3e+01   17   15  490   14  true
dixmaane CRlin   99 1.000e+00 7.318e+02 1.8e-04 1.9e+02    9    9   52    8  true
dixmaanf CRlin   99 1.000e+00 1.348e+03 7.9e-06 3.4e+02   11   11   57   10  true
dixmaang CRlin   99 1.000e+00 2.496e+03 8.0e-05 6.6e+02   11   11   49   10  true
dixmaanh CRlin   99 1.000e+00 4.974e+03 4.5e-05 1.3e+03   12   12   51   11  true
dixmaani CRlin   99 1.000e+00 6.636e+02 7.2e-05 1.9e+02   10   10  180    9  true
dixmaanj CRlin   99 1.000e+00 1.281e+03 1.4e-04 3.3e+02   12   12  153   11  true
dixmaank CRlin   99 1.000e+00 2.428e+03 4.1e-04 6.5e+02   12   12  117   11  true
dixmaanl CRlin   99 1.000e+00 4.904e+03 9.5e-04 1.3e+03   13   13  112   12  true
dixmaanm CRlin   99 1.000e+00 3.143e+02 1.9e-05 8.1e+01    9    9  204    8  true
dixmaann CRlin   99 1.000e+00 6.657e+02 1.8e-04 1.8e+02   12   12  192   11  true
dixmaano CRlin   99 1.000e+00 1.196e+03 1.8e-05 3.5e+02   13   13  188   12  true
dixmaanp CRlin   99 1.000e+00 2.343e+03 2.5e-04 7.1e+02   13   13  144   12  true
edensch CRlin  100 6.033e+02 1.699e+03 1.6e-05 3.0e+02    9    9   22    8  true
  eg2 CRlin  100 -9.895e+01 -8.331e+01 1.4e-09 5.3e+01    4    4    3    3  true
errinros_mod CRlin  100 7.862e+01 3.140e+05 1.9e-01 1.9e+05   22   18   93   17  true
extrosnb CRlin  100 2.271e-03 3.960e+04 7.7e-03 1.2e+04   69   41  167   40  true
fletcbv2 CRlin  100 -5.140e-01 -5.131e-01 4.2e-07 1.5e-03    3    3  172    2  true
fletcbv3_mod CRlin  100 -8.684e-02 -1.879e-02 2.8e-03 1.6e-03 10001 10001 10001 10000 false
fletchcr CRlin  100 1.223e-09 9.900e+03 1.3e-04 2.8e+02  552  287  960  286  true
fminsrf2 CRlin  100 1.000e+02 2.504e+03 7.1e-05 8.8e+01   68   17  753   16  true
freuroth CRlin  100 1.196e+04 9.956e+04 5.0e-03 7.9e+03   14   10   24    9  true
genhumps CRlin  100 1.974e-09 2.537e+06 2.8e-05 8.5e+02 1411 1254 3025 1253  true
genrose CRlin  100 1.000e+00 4.051e+02 7.6e-05 1.3e+02  174   93  858   92  true
genrose_nash CRlin  100 1.000e+00 4.041e+02 8.7e-05 1.3e+02  196  110  790  109  true
indef_mod CRlin  100 -1.005e+04 9.167e+01 1.9e-10 1.1e+01   25   23   58   22  true
liarwhd CRlin  100 1.522e-07 5.850e+04 8.4e-04 1.2e+04   12   12   20   11  true
morebv CRlin  100 5.326e-07 5.010e-01 4.1e-06 3.5e+00    8    8  751    7  true
ncb20 CRlin  100 1.700e+02 1.820e+02 2.2e-06 3.2e+01   65   55  379   54  true
ncb20b CRlin  100 1.967e+02 2.000e+02 2.9e-05 3.4e+01    9    9  251    8  true
noncvxu2 CRlin  100 2.323e+02 2.640e+06 2.8e-03 9.5e+03   36   33  243   32  true
noncvxun CRlin  100 2.323e+02 2.727e+06 1.4e-03 1.0e+04   39   36  219   35  true
nondia CRlin  100 1.969e+00 1.010e+06 4.0e-01 2.0e+06    3    3    2    2  true
penalty2 CRlin  100 9.710e+04 1.688e+06 4.9e-01 1.5e+06   13   13   30   12  true
powellsg CRlin  100 9.749e-05 3.158e+04 9.9e-03 1.5e+04   12   12   40   11  true
schmvett CRlin  100 -2.940e+02 -1.891e+02 2.7e-06 2.0e+01   11    9   37    8  true
scosine CRlin  100 -4.591e+01 8.688e+01 9.1e+04 8.1e+02 10225 10001 25764 10000 false
sinquad CRlin  100 4.561e-05 2.313e+02 2.2e-04 2.4e+02   90   67  133   66  true
sparsine CRlin  100 1.088e-07 2.089e+04 7.8e-04 8.5e+03    9    9  145    8  true
sparsqur CRlin  100 8.868e-06 1.420e+03 7.1e-04 1.3e+03   13   13   30   12  true
srosenbr CRlin  100 7.930e-07 1.210e+03 8.0e-04 1.6e+03   34   25   39   24  true
tointgss CRlin  100 9.706e+00 8.916e+02 3.8e-05 5.9e+01    9    8   16    7  true
tquartic CRlin  100 1.254e-12 8.100e-01 2.2e-07 1.8e+00   40   35   49   34  true
woods CRlin  100 1.000e+00 1.805e+05 5.3e-03 3.4e+04   87   69  177   68  true
