model algo nvar f(x) f(x0) ‖g(x)‖ ‖g(x0)‖ #f #g #Hv #it optimal
ARGLINA CGlin 200 2.000e+02 1.000e+03 1.0e-12 5.7e+01 3 2 1 1 true
ARGLINB CGlin 200 9.963e+01 8.651e+15 1.1e-01 1.4e+15 49 3 2 2 true
ARGLINC CGlin 200 1.011e+02 8.353e+15 7.5e-02 1.4e+15 49 3 2 2 true
ARWHEAD CGlin 5000 1.110e-12 1.500e+04 5.9e-06 4.0e+04 6 6 6 5 true
BDQRTIC CGlin 5000 2.001e+04 1.129e+06 1.3e+00 1.5e+06 408 408 814 407 true
BOXPOWER CGlin 20000 4.716e-02 1.764e+05 2.0e-02 1.7e+05 8 7 10 6 true
BOX CGlin 10000 -1.865e+03 0.000e+00 3.9e-08 5.0e+01 57 57 86 56 true
BROWNAL CGlin 200 2.037e-08 2.010e+06 2.8e-02 5.7e+05 2 2 1 1 true
BROYDN7D CGlin 5000 1.875e+03 1.760e+04 9.8e-05 1.1e+03 519 369 2163 368 true
BRYBND CGlin 5000 4.439e-07 1.249e+05 5.2e-03 7.8e+03 22 13 59 12 true
CHAINWOO CGlin 4000 5.336e+02 1.445e+07 1.1e-01 4.2e+05 3277 1541 31389 1540 true
CHNROSNB CGlin 50 2.137e-08 7.636e+03 2.4e-03 3.6e+03 60 44 491 43 true
CHNRSNBM CGlin 50 5.126e-09 8.633e+03 7.3e-04 4.4e+03 93 57 599 56 true
COSINE CGlin 10000 -9.999e+03 8.775e+03 6.4e-05 7.2e+01 13 8 13 7 true
CRAGGLVY CGlin 5000 1.688e+03 2.749e+06 2.4e-01 2.8e+05 57 32 112 31 true
CURLY10 CGlin 10000 -1.003e+06 -6.306e-01 4.6e-06 1.3e+02 17 14 68902 13 true
CURLY20 CGlin 10000 -1.003e+06 -1.344e+00 1.1e-04 3.0e+02 22 15 68649 14 true
CURLY30 CGlin 10000 -1.003e+06 -2.190e+00 1.0e-04 5.1e+02 26 16 71976 15 true
DECONVU CGlin 63 5.208e-07 1.104e+02 1.2e-05 1.1e+02 29 19 171 18 true
DIXMAANA CGlin 3000 1.000e+00 2.850e+04 2.3e-04 1.2e+03 14 9 8 8 true
DIXMAANB CGlin 3000 1.000e+00 4.724e+04 4.2e-04 2.0e+03 10 5 4 4 true
DIXMAANC CGlin 3000 1.000e+00 8.248e+04 9.0e-04 3.7e+03 11 5 4 4 true
DIXMAAND CGlin 3000 1.000e+00 1.586e+05 4.3e-05 7.6e+03 13 6 6 5 true
DIXMAANE CGlin 3000 1.000e+00 2.209e+04 1.0e-03 1.1e+03 12 9 87 8 true
DIXMAANF CGlin 3000 1.000e+00 4.104e+04 9.1e-04 1.9e+03 19 11 178 10 true
DIXMAANG CGlin 3000 1.050e+00 7.607e+04 3.0e-03 3.6e+03 49 29 240 28 true
