model algo nvar f(x) f(x0) ‖g(x)‖ ‖g(x0)‖ #f #g #Hv #it optimal
ARGLINA CRlin 200 2.000e+02 1.000e+03 1.0e-12 5.7e+01 3 2 1 1 true
ARGLINB CRlin 200 9.963e+01 8.651e+15 5.7e-02 1.4e+15 49 3 2 2 true
ARGLINC CRlin 200 1.011e+02 8.353e+15 2.0e-01 1.4e+15 49 3 2 2 true
ARWHEAD CRlin 5000 1.110e-12 1.500e+04 5.9e-06 4.0e+04 6 6 6 5 true
BDQRTIC CRlin 5000 2.001e+04 1.129e+06 1.3e+00 1.5e+06 29 14 22 13 true
BOXPOWER CRlin 20000 4.716e-02 1.764e+05 2.1e-02 1.7e+05 8 7 9 6 true
BOX CRlin 10000 -1.865e+03 0.000e+00 3.4e-08 5.0e+01 6 6 7 5 true
BROWNAL CRlin 200 2.037e-08 2.010e+06 2.8e-02 5.7e+05 2 2 1 1 true
BROYDN7D CRlin 5000 1.869e+03 1.760e+04 1.3e-04 1.1e+03 1317 1098 3079 1097 true
BRYBND CRlin 5000 2.795e-07 1.249e+05 2.5e-03 7.8e+03 19 12 55 11 true
CHAINWOO CRlin 4000 1.003e+00 1.445e+07 3.0e-01 4.2e+05 155 55 317 54 true
CHNROSNB CRlin 50 4.610e-08 7.636e+03 1.5e-03 3.6e+03 74 50 529 49 true
CHNRSNBM CRlin 50 2.637e-07 8.633e+03 2.2e-03 4.4e+03 123 82 632 81 true
COSINE CRlin 10000 -9.999e+03 8.775e+03 1.7e-05 7.2e+01 14 9 15 8 true
CRAGGLVY CRlin 5000 1.688e+03 2.749e+06 1.1e-01 2.8e+05 31 12 47 11 true
CURLY10 CRlin 10000 -1.003e+06 -6.306e-01 6.6e-02 1.3e+02 10003 10001 23680 10000 false
CURLY20 CRlin 10000 -1.003e+06 -1.344e+00 1.9e-01 3.0e+02 10005 10001 22838 10000 false
CURLY30 CRlin 10000 -1.003e+06 -2.190e+00 1.2e-01 5.1e+02 10007 10001 27349 10000 false
DECONVU CRlin 63 6.713e-08 1.104e+02 1.2e-05 1.1e+02 15 14 124 13 true
DIXMAANA CRlin 3000 1.000e+00 2.850e+04 2.2e-04 1.2e+03 14 9 8 8 true
DIXMAANB CRlin 3000 1.000e+00 4.724e+04 4.1e-04 2.0e+03 10 5 4 4 true
DIXMAANC CRlin 3000 1.000e+00 8.248e+04 9.3e-04 3.7e+03 11 5 4 4 true
DIXMAAND CRlin 3000 1.000e+00 1.586e+05 7.6e-04 7.6e+03 12 5 5 4 true
DIXMAANE CRlin 3000 1.000e+00 2.209e+04 4.3e-05 1.1e+03 13 10 152 9 true
DIXMAANF CRlin 3000 1.000e+00 4.104e+04 6.9e-04 1.9e+03 12 8 78 7 true
DIXMAANG CRlin 3000 1.060e+00 7.607e+04 2.1e-03 3.6e+03 119 108 202 107 true
DIXMAANH CRlin 3000 1.001e+00 1.517e+05 2.7e-03 7.4e+03 13 7 27 6 true
DIXMAANI CRlin 3000 1.001e+00 2.002e+04 9.9e-04 1.0e+03 12 9 109 8 true
DIXMAANJ CRlin 3000 1.186e+00 3.900e+04 1.6e-03 1.8e+03 455 448 648 447 true
DIXMAANK CRlin 3000 1.000e+00 7.400e+04 1.4e-03 3.6e+03 26 12 58 11 true
DIXMAANL CRlin 3000 2.614e+00 1.496e+05 3.1e-03 7.4e+03 224 213 324 212 true
DIXMAANM CRlin 3000 1.000e+00 9.358e+03 1.0e-04 4.4e+02 49 46 445 45 true
DIXMAANN CRlin 3000 1.000e+00 2.018e+04 4.9e-04 1.0e+03 17 13 140 12 true
DIXMAANO CRlin 3000 1.000e+00 3.635e+04 6.6e-04 2.0e+03 17 12 114 11 true
DIXMAANP CRlin 3000 1.001e+00 7.128e+04 1.4e-03 4.0e+03 20 14 87 13 true
DIXON3DQ CRlin 10000 3.643e-04 8.000e+00 6.3e-06 5.7e+00 11 11 12922 10 true
DQDRTIC CRlin 5000 2.667e-07 9.041e+06 1.1e-02 8.5e+04 57 9 10 8 true
DQRTIC CRlin 5000 5.693e+09 6.241e+17 1.2e+07 1.3e+13 252 13 12 12 true
EDENSCH CRlin 2000 1.200e+04 7.358e+06 9.0e-02 1.0e+05 28 12 18 11 true
